,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
2938,Le Corbeau,,,,,,,,,,726.0,"$36,089","$36,089",100%,-,-,Le Corbeau
2939,Le Samouraï,False,"[Crime, Thriller]",fr,14.542,1967-10-25,7.9,432.0,,,,,,,,,Le Samouraï
2940,Le Trou,,,,,,,,,,579.0,"$34,588","$34,588",100%,-,-,Le Trou
2941,Le hussard sur le toit,,,,,,,,"Apr 19, 1996"," $35,000,000",," $1,320,043"," $1,320,043",,,,Le hussard sur le toit
2942,Le talent de mes amis,,,,,,,,,,432.0,"$376,522",$889,0.2%,"$375,633",99.8%,Le talent de mes amis
2943,Lean on Pete,,,,,,,,,,310.0,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%,Lean on Pete
2944,Leaning Into The Wind,,,,,,,,,,451.0,"$452,372","$400,530",88.5%,"$51,842",11.5%,Leaning Into The Wind
2945,Leap!,,,,,,,,,,87.0,"$84,197,417","$2,844,490",3.4%,"$81,352,927",96.6%,Leap!
2946,Leap! 2017 Re-release,,,,,,,,,,160.0,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%,Leap! 2017 Re-release
2947,Learning to Drive,,,,,,,,,,248.0,"$5,967,516","$3,447,633",57.8%,"$2,519,883",42.2%,Learning to Drive
2948,Leatherheads,,,,,,,,"Apr 4, 2008"," $58,000,000",," $41,348,628"," $31,373,938",,,,Leatherheads
2949,Leave No Trace,,,,,,,,,,237.0,"$7,682,928","$6,046,104",78.7%,"$1,636,824",21.3%,Leave No Trace
2950,"Leaving Home, Coming Home: A Portrait of Robert Frank",,,,,,,,,,580.0,"$27,073","$27,073",100%,-,-,"Leaving Home, Coming Home: A Portrait of Robert Frank"
2951,Legal Eagles,,,,,,,,"Jun 18, 1986"," $40,000,000",," $49,851,591"," $49,851,591",,,,Legal Eagles
2952,Legend,,,,,,,,,,129.0,"$42,972,994","$1,872,994",4.4%,"$41,100,000",95.6%,Legend
2953,Legend of the Guardians: The Owls of Ga'Hoole,,,,,,,,"Sep 24, 2010"," $100,000,000",," $139,716,717"," $55,675,313",,,,Legend of the Guardians: The Owls of Ga'Hoole
2954,Legend of the Mountain,,,,,,,,,,843.0,"$7,640","$7,640",100%,-,-,Legend of the Mountain
2955,Legend of the Naga Pearls,,,,,,,,,,171.0,"$17,274,695","$13,588",<0.1%,"$17,261,107",99.9%,Legend of the Naga Pearls
2956,Legends from the Sky,,,,,,,,,,509.0,"$91,462","$91,462",100%,-,-,Legends from the Sky
2957,Legends of Oz: Dorothyâs Return,,,,,,,,"May 9, 2014"," $70,000,000",," $20,107,933"," $8,462,347",,,,Legends of Oz: Dorothyâs Return
2958,Legends of the Fall,False,"[Adventure, Drama, Romance, War]",en,14.545,1994-12-16,7.4,1304.0,,,,,,,,,Legends of the Fall
2959,Lemon,,,,,,,,,,594.0,"$29,258","$29,258",100%,-,-,Lemon
2960,Lemonade Mouth,False,"[Comedy, Drama]",en,9.418,2011-04-15,7.3,600.0,,,,,,,,,Lemonade Mouth
2961,Lemony Snicket's A Series of Unfortunate Events,,,,,,,,"Dec 17, 2004"," $100,000,000",," $212,956,024"," $118,627,117",,,,Lemony Snicket's A Series of Unfortunate Events
2962,Leo Da Vinci: Mission Mona Lisa,,,,,,,,,,306.0,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%,Leo Da Vinci: Mission Mona Lisa
2963,Les BronzÃ©s 3: amis pour la vie,,,,,,,,Unknown," $42,000,000",," $83,833,602", $0,,,,Les BronzÃ©s 3: amis pour la vie
2964,Les Cowboys,,,,,,,,,,339.0,"$1,302,493","$73,725",5.7%,"$1,228,768",94.3%,Les Cowboys
2965,Les MisÃ©rables,,,,,,,,"Dec 19, 2012"," $65,000,000",," $441,000,552"," $148,809,770",,,,Les MisÃ©rables
2966,Les Misérables,False,"[Drama, History]",en,15.962,2012-12-18,7.4,3654.0,,,,,,,,,Les Misérables
2969,Les Parents Terribles,,,,,,,,,,822.0,"$11,818","$11,818",100%,-,-,Les Parents Terribles
2970,Let There Be Light,,,,,,,,,,226.0,"$7,233,471","$7,233,471",100%,-,-,Let There Be Light
2971,Let Yourself Go,,,,,,,,,,315.0,"$2,140,190","$12,189",0.6%,"$2,128,001",99.4%,Let Yourself Go
2972,Let the Corpses Tan,,,,,,,,,,636.0,"$93,409","$93,409",100%,-,-,Let the Corpses Tan
2973,Let the Right One In,False,"[Drama, Horror]",sv,11.814,2008-01-26,7.5,1736.0,,,,,,,,,Let the Right One In
2974,Let the Sunshine In,,,,,,,,,,261.0,"$4,192,590","$892,421",21.3%,"$3,300,169",78.7%,Let the Sunshine In
2975,Let's Do It Again,False,"[Comedy, Crime]",en,3.487,1975-10-11,7.2,13.0,,,,,,,,,Let's Do It Again
2976,Let's Get Married,,,,,,,,,,122.0,"$45,972,724","$462,918",1%,"$45,509,806",99%,Let's Get Married
2977,Lethal Weapon,False,"[Action, Adventure, Comedy, Crime, Thriller]",en,13.698,1987-03-06,7.2,2594.0,,,,,,,,,Lethal Weapon
